year,name,count_year_app,count_year,prop_app
2015,Cognitive_model,7,29,24.137931034482758
2015,GOFAI,13,29,44.827586206896555
2015,Machine_learning,9,29,31.03448275862069
2015,Prerecorded,0,29,0
2016,Cognitive_model,3,15,20
2016,GOFAI,6,15,40
2016,Machine_learning,6,15,40
2016,Prerecorded,0,15,0
2017,Cognitive_model,4,15,26.666666666666668
2017,GOFAI,3,15,20
2017,Machine_learning,8,15,53.333333333333336
2017,Prerecorded,0,15,0
2018,Cognitive_model,5,30,16.666666666666664
2018,GOFAI,15,30,50
2018,Machine_learning,9,30,30
2018,Prerecorded,1,30,3.3333333333333335
2019,Cognitive_model,3,23,13.043478260869565
2019,GOFAI,3,23,13.043478260869565
2019,Machine_learning,15,23,65.21739130434783
2019,Prerecorded,2,23,8.695652173913043
2020,Cognitive_model,4,27,14.814814814814813
2020,GOFAI,15,27,55.55555555555556
2020,Machine_learning,8,27,29.629629629629626
2020,Prerecorded,0,27,0
2021,Cognitive_model,9,29,31.03448275862069
2021,GOFAI,10,29,34.48275862068966
2021,Machine_learning,10,29,34.48275862068966
2021,Prerecorded,0,29,0
2022,Cognitive_model,1,9,11.11111111111111
2022,GOFAI,3,9,33.33333333333333
2022,Machine_learning,5,9,55.55555555555556
2022,Prerecorded,0,9,0
